J_segments	Short_name	colors	serial_number
TRBJ1-1	1-1	#72787D	1
TRBJ1-2	1-2	#AF43E3	2
TRBJ1-3	1-3	#6FE467	3
TRBJ1-4	1-4	#B4E09C	4
TRBJ1-5	1-5	#D8E352	5
TRBJ1-6	1-6	#7FB9DF	6
TRBJ1-7	1-7	#D6DDDA	7
TRBJ2-1	2-1	#D3A3DD	8
TRBJ2-2	2-2	#7F74DC	9
TRBJ2-3	2-3	#E1636D	10
TRBJ2-4	2-4	#DA62C2	11
TRBJ2-5	2-5	#6BDCC7	12
TRBJ2-6	2-6	#D7B36B	13
TRBJ2-7	2-7	#DFA5A4	14
